type,text
ham,All boys made fun of me today. Ok i have no problem. I just sent one message just for fun
ham,"Its ok., i just askd did u knw tht no?"
ham,U R THE MOST BEAUTIFUL GIRL IVE EVER SEEN. U R MY BABY COME AND C ME IN THE COMMON ROOM
spam,"URGENT! Your mobile No 077xxx WON a £2,000 Bonus Caller Prize on 02/06/03! This is the 2nd attempt to reach YOU! Call 09066362206 ASAP! BOX97N7QP, 150ppm"
ham,"Well, I meant as opposed to my drunken night of before"
ham,Dont think so. It turns off like randomlly within 5min of opening
spam,"You are being contacted by our Dating Service by someone you know! To find out who it is, call from your mobile or landline 09064017305 PoBox75LDNS7 "
ham,"Nothing. I meant that once the money enters your account here, the bank will remove its flat rate. Someone transfered  #  to my account and  # dollars got removed. So the banks differ and charges also differ.be sure you trust the 9ja person you are sending account details to cos..."
ham,Yoyyooo u know how to change permissions for a drive in mac. My usb flash drive
ham,Come aftr  DECIMAL ..now i m cleaning the house
ham,"Sorry, it's a lot of friend-of-a-friend stuff, I'm just now about to talk to the actual guy who wants to buy"
spam,You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712394 between 10am-7pm
ham,I wonder if you'll get this text?
ham,i see. When we finish we have loads of loans to pay
ham,"Sorry pa, i dont knw who ru pa?"
ham,Neva mind it's ok..
ham,I hope you know I'm still mad at you.
ham,"Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish. As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there. She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife, My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!"
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ"
ham,Can u get pic msgs to your phone?
spam,"YOU 07801543489 are guaranteed the latests Nokia Phone, a 40GB iPod MP3 player or a £500 prize! Txt word:COLLECT to No:83355! TC-LLC NY-USA 150p/Mt msgrcvd18+"
ham,"Maybe westshore or hyde park village, the place near my house?"
ham,Remind me how to get there and I shall do so
ham,"My sister in law, hope you are having a great month. Just saying hey. Abiola"
ham,"Chinatown got porridge, claypot rice, yam cake, fishhead beehoon... Either we eat cheap den go cafe n tok or go nydc or somethin..."
spam,"SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= ***** unsubscribe with STOP. no extra charge. help:08700469649. PO BOX420. IP4 5WE"
ham,Are you this much buzy
ham,"Honeybee Said: *I'm d Sweetest in d World* God Laughed & Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)"
ham,So that means you still think of teju
ham,I take it we didn't have the phone callon Friday. Can we assume we won't have it this year now?
ham,Already am squatting is the new way of walking
ham,"1.20 that call cost. Which i guess isnt bad. Miss ya, need ya, want ya, love ya"
ham,I think u have the wrong number.
ham,"Lets use it next week, princess :)"
ham,"Sorry, I'll call later"
ham,He remains a bro amongst bros
ham,No..few hours before.went to hair cut .
ham,somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true... goodnite & sweet dreams
ham,I am not having her number sir
ham,"Yo my trip got postponed, you still stocked up?"
ham,"For you information, IKEA is spelled with all caps. That is not yelling. when you thought i had left you, you were sitting on the bed among the mess when i came in. i said we were going after you got home from class. please don't try and con me. It makes me want to listen to you less."
ham,"I didnt get ur full msg..sometext is missing, send it again"
ham,HIYA STU WOT U UP 2.IM IN SO MUCH TRUBLE AT HOME AT MOMENT EVONE HATES ME EVEN U! WOT THE HELL AV I DONE NOW? Y WONT U JUST TELL ME TEXT BCK PLEASE LUV DAN 
ham,Sorry da:)i was thought of calling you lot of times:)lil busy.i will call you at noon..
ham,Hiya do u like the hlday pics looked horrible in them so took mo out! Hows the camp Amrca thing? Speak soon Serena:)
ham,Id onluy matters when getting on from offcampus
ham,I liked your new house
ham,ALRITE HUNNY!WOT U UP 2 2NITE? DIDNT END UP GOIN DOWN TOWN JUS DA PUB INSTEAD! JUS CHILLIN AT DA MO IN ME BEDROOM!LOVE JEN XXX.
ham,"Fair enough, anything going on?"
ham,ALSO TELL HIM I SAID HAPPY BIRTHDAY
ham,Ill be there on  #  ok.
ham,How to Make a girl Happy? It's not at all difficult to make girls happy. U only need to be... 1. A friend 2. Companion 3. Lover 4. Chef . . .  # . Good listener  # . Organizer  # . Good boyfriend  # . Very clean  # . Sympathetic  # . Athletic  # . Warm . . .  # . Courageous  # . Determined  # . True  # . Dependable  # . Intelligent . . .  # . Psychologist  # . Pest exterminator  # . Psychiatrist  # . Healer . .  # . Stylist  # . Driver . . Aaniye pudunga venaam..
ham,Still in the area of the restaurant. Ill try to come back soon
ham,"hey, looks like I was wrong and one of the kappa guys numbers is still on my phone, if you want I can text him and see if he's around"
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm 
spam,Did you hear about the new Divorce Barbie? It comes with all of Ken's stuff!
ham,How many times i told in the stage all use to laugh. You not listen aha.
ham,I havent lei.. Next mon can?
ham,Dont pick up d call when something important is There to tell. Hrishi
ham,Lol well don't do it without me. We could have a big sale together.
ham,Am only searching for good dual sim mobile pa.
spam,"Dear Voucher Holder, To claim this weeks offer, at you PC please go to http://www.e-tlp.co.uk/reward. Ts&Cs apply."
ham,Si si. I think ill go make those oreo truffles.
ham,Tiwary to rcb.battle between bang and kochi.
ham,Just woke up. Yeesh its late. But I didn't fall asleep til # am :/
ham,Oh...i asked for fun. Haha...take care. u
ham,How? Izzit still raining?
spam,Panasonic & BluetoothHdset FREE. Nokia FREE. Motorola FREE & DoubleMins & DoubleTxt on Orange contract. Call MobileUpd8 on 08000839402 or call 2optout
spam,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery
ham,Pls send me the correct name da.
ham,Dear got train and seat mine lower seat
ham,Why i come in between you people
ham,Can... I'm free...
ham,Oh ok no prob..
ham,Ok can...
ham,Are your freezing ? Are you home yet ? Will you remember to kiss your mom in the morning? Do you love me ? Do you think of me ? Are you missing me yet ?
ham,U coming 2 pick me?
ham,Reason is if the team budget is available at last they buy the unsold players for at base rate..
ham,Oooh bed ridden ey? What are YOU thinking of?
spam,Well done ENGLAND! Get the official poly ringtone or colour flag on yer mobile! text TONE or FLAG to 84199 NOW! Opt-out txt ENG STOP. Box39822 W111WX £1.50
ham,"Mum, hope you are having a great day. Hoping this text meets you well and full of life. Have a great day. Abiola"
ham,And of course you should make a stink!
ham,"A few people are at the game, I'm at the mall with iouri and kaila"
spam,<Forwarded from 21870000>Hi - this is your Mailbox Messaging SMS alert. You have 4 messages. You have 21 matches. Please call back on 09056242159 to retrieve your messages and matches
spam,WINNER! As a valued network customer you hvae been selected to receive a £900 reward! To collect call 09061701444. Valid 24 hours only. ACL03530150PM
ham,Is xy going 4 e lunch?
ham,I'm in school now n i'll be in da lab doing some stuff give me a call when u r done.
spam,This msg is for your mobile content order It has been resent as previous attempt failed due to network error Queries to customersqueries@netvision.uk.com
ham,"Fyi I'm taking a quick shower, be at epsilon in like  #  min"
ham,Nope i'm not drivin... I neva develop da photos lei...
ham,"Sorry, I'll call later"
ham,"Aight I've been set free, think you could text me blake's address? It occurs to me I'm not quite as sure what I'm doing as I thought I was"
ham,You got job in wipro:)you will get every thing in life in 2 or 3 years.
spam,"We know someone who you know that fancies you. Call 09058097218 to find out who. POBox 6, LS15HB 150p"
ham,Hi where you. You in home or calicut?
ham,There are some nice pubs near here or there is Frankie n Bennys near the warner cinema?
ham,No message..no responce..what happend?
ham,"Great. I'm in church now, will holla when i get out"
ham,will you like to be spoiled? :)
ham,They don't put that stuff on the roads to keep it from getting slippery over there?
ham,Pass dis to all ur contacts n see wat u get! Red;i'm in luv wid u. Blue;u put a smile on my face. Purple;u r realy hot. Pink;u r so swt. Orange;i thnk i lyk u. Green;i realy wana go out wid u. Yelow;i wnt u bck. Black;i'm jealous of u. Brown;i miss you Nw plz giv me one color
ham,Lol I was gonna last month. I cashed some in but I left # just in case. I was collecting more during the week cause they announced it on the blog.
ham,Me too baby! I promise to treat you well! I bet you will take good care of me...
ham,Thanx but my birthday is over already.
ham,About  # bucks. The banks fees are fixed. Better to call the bank and find out.
ham,"Thats a bit weird, even ?- where is the do supposed to be happening? But good idea, sure they will be in pub!"
ham,Yes.he have good crickiting mind
ham,Are you still playing with gautham?
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18"
ham,I asked sen to come chennai and search for job.
ham,Ya had just now.onion roast.
ham,Yeah I'll try to scrounge something up
ham,How i noe... She's in da car now... Later then c lar... I'm wearing shorts...
ham,Small problem in auction:)punj now asking tiwary
ham,Welp apparently he retired
ham,Okay same with me. Well thanks for the clarification
ham,Slept? I thinkThis time ( #  pm) is not dangerous
ham,Message from . I am at Truro Hospital on ext. You can phone me here. as I have a phone by my side
ham,Jordan got voted out last nite!
